Sexo,Comunidades y Ciudades Autónomas,Nacionalidad,Periodo,Total
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2021T3,"44,72"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2021T2,"44,99"
Ambos sexos,01 Andalucía,Extranjera: No pertenecientes a la Unión Europea,2021T1,"45,72"
Ambos sexos,02 Aragón,Total,2023T4,"54,50"
Ambos sexos,02 Aragón,Total,2023T3,"53,67"
Ambos sexos,02 Aragón,Total,2023T2,"53,66"
Ambos sexos,02 Aragón,Total,2023T1,"53,37"
Ambos sexos,02 Aragón,Total,2022T4,"52,91"
Ambos sexos,02 Aragón,Total,2022T3,"53,31"
Ambos sexos,02 Aragón,Total,2022T2,"53,63"
Ambos sexos,02 Aragón,Total,2022T1,"53,23"
Ambos sexos,02 Aragón,Total,2021T4,"53,54"
Ambos sexos,02 Aragón,Total,2021T3,"53,76"
Ambos sexos,02 Aragón,Total,2021T2,"52,15"
Ambos sexos,02 Aragón,Total,2021T1,"51,13"
Ambos sexos,02 Aragón,Española,2023T4,"53,83"
Ambos sexos,02 Aragón,Española,2023T3,"53,57"
Ambos sexos,02 Aragón,Española,2023T2,"53,21"
Ambos sexos,02 Aragón,Española,2023T1,"52,91"
Ambos sexos,02 Aragón,Española,2022T4,"52,45"
Ambos sexos,02 Aragón,Española,2022T3,"52,79"
Ambos sexos,02 Aragón,Española,2022T2,"52,54"
Ambos sexos,02 Aragón,Española,2022T1,"52,35"
Ambos sexos,02 Aragón,Española,2021T4,"52,23"
Ambos sexos,02 Aragón,Española,2021T3,"51,97"
Ambos sexos,02 Aragón,Española,2021T2,"50,13"
Ambos sexos,02 Aragón,Española,2021T1,"49,91"
Ambos sexos,02 Aragón,Extranjera: Total,2023T4,"59,18"
Ambos sexos,02 Aragón,Extranjera: Total,2023T3,"54,32"
Ambos sexos,02 Aragón,Extranjera: Total,2023T2,"56,92"
Ambos sexos,02 Aragón,Extranjera: Total,2023T1,"56,70"
Ambos sexos,02 Aragón,Extranjera: Total,2022T4,"56,37"
Ambos sexos,02 Aragón,Extranjera: Total,2022T3,"57,41"
Ambos sexos,02 Aragón,Extranjera: Total,2022T2,"62,53"
Ambos sexos,02 Aragón,Extranjera: Total,2022T1,"60,31"
Ambos sexos,02 Aragón,Extranjera: Total,2021T4,"63,76"
Ambos sexos,02 Aragón,Extranjera: Total,2021T3,"68,02"
Ambos sexos,02 Aragón,Extranjera: Total,2021T2,"67,60"
Ambos sexos,02 Aragón,Extranjera: Total,2021T1,"59,88"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2023T4,"66,44"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2023T3,"56,99"
Ambos sexos,02 Aragón,Extranjera: Unión Europea,2023T2,"58,86"
